business_id,business_name,product_title,city,state,review_month,review_count,avg_rating,extreme_rating_share,avg_review_length,avg_anomaly_score,max_anomaly_score,suspicious_review_density,review_volume_change,rating_shift,extreme_rating_share_shift,review_length_shift,behavioral_drift_score,feature_drift_score,prediction_drift_score,model_drift_score,retraining_alert,decision_score
B088PM2SGD,8 Pcs Headband,8 Pcs Headband,,,2021-04-01,3,1.0,1.0,20.0,0.9920157353422548,0.9920157353422548,1.0,2.0,-3.0,1.0,-0.9675324675324676,0.9935064935064936,0.057800067380601956,0.0628483695316578,0.06007180334857709,False,0.8545929012486991
B084WP4XS8,"CELIMAX The Real Sedum Aqua Boosting Essence - with 65.33% Sedum Extract, Hyaluronic Acid Complex, 150ml","CELIMAX The Real Sedum Aqua Boosting Essence - with 65.33% Sedum Extract, Hyaluronic Acid Complex, 150ml",,,2021-05-01,4,5.0,1.0,645.25,0.8499808611510739,1.0,1.0,3.0,1.0,1.0,4.710176991150442,0.875,0.05902974335143343,0.0803059022580765,0.0686040148594228,False,0.8290406022289134
B08D5ZT3Q8,"Facial Body Skin Tightening Machine - Uaike High Frequency Facial Device for Anti Aging, Reduce Wrinkle, Skin Lifting, Skin Care Beauty","Facial Body Skin Tightening Machine - Uaike High Frequency Facial Device for Anti Aging, Reduce Wrinkle, Skin Lifting, Skin Care Beauty",,,2021-06-01,2,4.0,0.0,947.5,0.8977540893199383,1.0,1.0,1.0,3.0,-1.0,5.625874125874126,0.8500000000000001,0.05995597760314177,0.08088343407612845,0.06937333301598578,False,0.8229059999523979
B08K2WH8LK,"UNNY CLUB Cover Glow Cushion 0.3 Oz / 11g Beige Color SPF50+, Flawless Gloss Cushion Powder Complex Single Layer Concealer Cover Moisture Essence Tight Fit, Korea Cosmetics (No.21 Light Beige)","UNNY CLUB Cover Glow Cushion 0.3 Oz / 11g Beige Color SPF50+, Flawless Gloss Cushion Powder Complex Single Layer Concealer Cover Moisture Essence Tight Fit, Korea Cosmetics (No.21 Light Beige)",,,2021-10-01,3,4.666666666666667,0.6666666666666666,2656.0,0.9212169152305677,1.0,1.0,2.0,0.666666666666667,0.6666666666666666,1.1575954508529651,0.8333333333333333,0.059682634214919275,0.08699728431011071,0.07197422675775542,False,0.8191294673469967
B07W397QG4,Iryasa Night Indulge Cream - Natural Face Cream for Dry Skin - Vegan Anti Aging Night Cream for Women - Firming Cream for Face and Neck - Organic Vitamin C Moisturizer for Face - 1.7oz,Iryasa Night Indulge Cream - Natural Face Cream for Dry Skin - Vegan Anti Aging Night Cream for Women - Firming Cream for Face and Neck - Organic Vitamin C Moisturizer for Face - 1.7oz,,,2020-06-01,5,4.2,0.4,799.4,0.8468039931539952,1.0,1.0,4.0,-0.7999999999999998,-0.6,198.85,0.8499999999999999,0.053512378276673565,0.030640251884621928,0.04321992140025033,False,0.8189829882100376
B000TFGU2I,Philips Norelco arcitec 1050 Men's Shaver,Philips Norelco arcitec 1050 Men's Shaver,,,2009-06-01,1,4.0,0.0,8481.0,1.0,1.0,1.0,-0.6666666666666666,2.0,-0.6666666666666666,17.26489590811199,0.8,0.021626444937347417,0.1440348578163613,0.07671023073290366,False,0.8115065346099356
B074N573MS,"32pcs Makeup Brushes Premium Makeup Brush Set Synthetic Kabuki Cosmetics Foundation Blending Blush Eyeliner Face Powder Brush Makeup Brush Kit,Champagne Color","32pcs Makeup Brushes Premium Makeup Brush Set Synthetic Kabuki Cosmetics Foundation Blending Blush Eyeliner Face Powder Brush Makeup Brush Kit,Champagne Color",,,2019-04-01,3,1.0,1.0,12.0,0.8881911952729831,0.8881911952729831,1.0,2.0,-3.0,1.0,-0.8709677419354839,0.9741935483870968,0.04985634407419878,0.03408518187531306,0.04275932108470021,False,0.8108292036050232
B085RS26YH,LUXEDIVA Brazilian Virgin Hair Straight 3 Bundles 10A Unprocessed Brazilian Short Straight Human Hair Weave Weft Natural Black 14 16 18,LUXEDIVA Brazilian Virgin Hair Straight 3 Bundles 10A Unprocessed Brazilian Short Straight Human Hair Weave Weft Natural Black 14 16 18,,,2021-08-01,4,3.75,0.5,261.75,0.8528741359870832,0.9195081813918367,1.0,3.0,-1.25,-0.5,2.7934782608695654,0.90625,0.05959347191105532,0.08212283488418919,0.06973168524896556,False,0.8088501162744876
B08DLG3QT2,AISI BEAUTY Long Blonde Ponytail Curly Drawstring Ponytails for Women 22 inch Kinky Straight Ponytail Clip on Ponytail(613#),AISI BEAUTY Long Blonde Ponytail Curly Drawstring Ponytails for Women 22 inch Kinky Straight Ponytail Clip on Ponytail(613#),,,2021-07-01,2,1.0,1.0,8.0,0.9615271351641028,0.9615271351641028,1.0,1.0,-2.0,1.0,-0.9760479041916168,0.8452095808383234,0.05909289020074846,0.07002015876569502,0.06401016105497442,False,0.807438416675263
B000UK2VRK,Philips Norelco 8040X Moisturizing Shaving System,Philips Norelco 8040X Moisturizing Shaving System,,,2008-02-01,1,5.0,1.0,4228.0,1.0,1.0,1.0,-0.75,2.0,0.5,6.052543786488741,0.8125,0.023982385214111328,0.02760314460570101,0.025611726940326686,False,0.806966759041049
